2022年3月12日16时2分42秒   草稿：202203121443.lrc  保存成功！
2022年3月12日16时2分19秒   草稿：202203121443.srt  保存成功！
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析成功！[ 28/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 27/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 26/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 25/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 24/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 23/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 22/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 21/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 20/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 19/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 18/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 17/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 16/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 15/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 14/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 13/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 12/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 11/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 10/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 9/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 8/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 7/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 6/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 5/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 4/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 3/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 2/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  字幕轨1解析中[ 1/ 28]
2022年3月12日16时1分44秒   草稿：202203121443  读取中
